1793615994,thinking about the teaser-headline for the new &quot;indiana jones&quot;-video. something like &quot;bullwhip olï¿½&quot; sounds maybe slightly a little too SM ,158
2195778855,We can participate in a &quot;Biggest Loser Team at work and NO ONE asked me to join   -So I am &quot;Team SlimPossible&quot; a team of one!!! take that!,153
1962352402,@keovani its suppose 2 b &quot;hmm what 2 do 2day&quot; but its a typo that doesn't translate 2 &quot;him 2 do 2da&quot; lolllll u r a freak loll  hahaha,153
2265750166,@Hargiteam_42 lol &quot;being sick&quot; I like sum shinedown songs I wish that they would tour Australia&amp; Papa Roach I really REALLY wish they did ,152
1956641645,@DeAnn: &quot;mornin'  @storylet@djwttw:  &quot;take my money and my cigarettes.&quot;  no one quite like Byrne.  this is a ... ? http://blip.fm/~78nvu,151
1755706750,&quot;feliz dia mamiiiiii Te Amooo! Dios te Bendigaa!! GRACIAS!&quot;   -  Jackelin Celedon Mares  from Facebook  - Her Spanish is better than mine ,148
2225159892,@TheEnglishRose i hope the restaurant voucher doesn't read  &quot; We will make sure we use something stronger this time &quot;  In the fine print. ,148
2016788443,zach dr appt was very frustrating for him. ok. extremely madding is more like it. he does not want to hear the word &quot;rest&quot;. says he wont  ,148
2068535310,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,148
1963022176,@mileycyrus&quot;i wanna go to prom one day   &quot;i wish U can go with me 2 my prom even though im not a guy.but thatwouldmake1of myFRIENDS happy,147
